,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,year,decade,PrimaryCaretaker
5441,133551,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3498 Clay St,3.0,Sidewalk: Curb side : Cutout,Private,2014-05-07 00:00:00,1,Width 3ft,37.78872872,-122.4502946,2014,2010 - 2019,Private
5444,39959,DPW Maintained,Lagunaria patersonii :: Primrose Tree,492 07th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-25 00:00:00,2,,37.77925989,-122.465147,2000,2000 - 2009,Private
5447,89731,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1345X Anza St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-08 00:00:00,3,3x3,37.77911012,-122.4624839,2008,2000 - 2009,DPW
5450,264991,DPW Maintained,Prunus cerasifera :: Cherry Plum,721 Irving St,2.0,Sidewalk: Curb side : Cutout,Private,2020-12-07 00:00:00,3,Width 3ft,37.76398769,-122.4655353,2020,2020 - 2029,Private
5455,94793,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,2 Laurel St,5.0,Sidewalk: Curb side : Cutout,Private,2010-11-08 00:00:00,5,,37.79101087,-122.4508825,2010,2010 - 2019,Private
5456,243660,Planning Code 138.1 required,Ginkgo biloba :: Maidenhair Tree,4471 23rd St,2.0,Sidewalk: Curb side : Cutout,Private,2018-03-14 00:00:00,3,4x4,37.7523774,-122.4419086,2018,2010 - 2019,Private
5459,64113,DPW Maintained,Magnolia grandiflora 'Russet' :: Russet Magnolia,155 Connecticut St,1.0,Sidewalk: Curb side : Cutout,Private,1987-11-18 00:00:00,7,,37.76394065,-122.3975258,1987,1980 - 1989,Private
5461,39387,DPW Maintained,Liriodendron tulipifera :: Tulip Tree,2710 Broadway,3.0,Sidewalk: Curb side : Cutout,Private,1998-12-21 00:00:00,7,,37.79346374,-122.4419565,1998,1990 - 1999,Private
5466,59613,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,1025 Tennessee St,1.0,Sidewalk: Curb side : Cutout,Private,1981-02-26 00:00:00,10,3x3,37.75886256,-122.3892343,1981,1980 - 1989,Private
5475,64386,DPW Maintained,Pyrus calleryana :: Ornamental Pear,39 Stillman St,1.0,Sidewalk: Curb side : Cutout,Private,1988-04-21 00:00:00,6,3x3,37.78282323,-122.394922,1988,1980 - 1989,Private
5483,31306,DPW Maintained,Melaleuca nesophila :: Pink Melaleuca,561 Birch St,2.0,Sidewalk: Curb side : Cutout,Private,1995-04-12 00:00:00,0,,37.77787455,-122.425885,1995,1990 - 1999,Private
5484,6476,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1200X Evans Ave,18.0,Sidewalk: Curb side : Cutout,DPW,2006-09-11 00:00:00,3,3X3,37.73956701,-122.3820546,2006,2000 - 2009,DPW
5488,20770,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1700X Sunset Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,2000-04-13 00:00:00,3,10,37.75528189,-122.49547,2000,2000 - 2009,DPW
5491,50484,Permitted Site,Pittosporum undulatum :: Victorian Box,175 Russ St,2.0,Sidewalk: Curb side : Cutout,Private,2003-10-29 00:00:00,5,3x3,37.77799984,-122.4070633,2003,2000 - 2009,Private
5503,105038,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,46 Atalaya Ter,,Sidewalk: Curb side : Cutout,Private,2015-03-05 00:00:00,3,3X4,37.77597,-122.4473523,2015,2010 - 2019,Private
5504,96758,DPW Maintained,Ulmus parvifolia :: Chinese Elm,54 05th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2014-03-10 00:00:00,24,4x4,37.78764511,-122.4636177,2014,2010 - 2019,Private
5509,12383,DPW Maintained,Lophostemon confertus :: Brisbane Box,1435 Laguna St,4.0,Sidewalk: Curb side : Cutout,DPW,2014-08-21 00:00:00,1,4x4,37.7842359,-122.4286805,2014,2010 - 2019,DPW
5514,10550,DPW Maintained,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,217 Harbor Rd,1.0,Sidewalk: Curb side : Cutout,DPW,1992-02-12 00:00:00,12,3X4,37.73287427,-122.3789142,1992,1990 - 1999,DPW
5521,51499,DPW Maintained,Agonis flexuosa :: Peppermint Willow,1518 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2005-01-13 00:00:00,1,,37.75832999,-122.5013187,2005,2000 - 2009,Private
5522,264789,DPW Maintained,Lophostemon confertus :: Brisbane Box,1385 Utah St,1.0,Sidewalk: Curb side : Cutout,DPW,2021-07-30 00:00:00,3,3x3,37.75200326,-122.40505,2021,2020 - 2029,DPW
5524,255734,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,301x Congdon St,1.0,Sidewalk: Curb side : Cutout,Private,2018-10-04 11:59:00,3,3x5,37.72891485,-122.425863,2018,2010 - 2019,Private
5526,240637,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,10 Guerrero St,1.0,Sidewalk: Curb side : Cutout,Private,2020-08-13 00:00:00,3,3x3,37.7703227,-122.4247652,2020,2020 - 2029,Private
5529,69157,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,1259 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1994-01-26 00:00:00,8,,37.76306029,-122.5018853,1994,1990 - 1999,Private
5531,264910,Section 806 (d),Magnolia grandiflora :: Southern Magnolia,1615 Wallace Ave,1.0,Front Yard : Cutout,Private,2020-11-04 00:00:00,3,4x4,37.72759805,-122.3914421,2020,2020 - 2029,Private
5533,12670,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1128 Lake St,1.0,Sidewalk: Curb side : Cutout,DPW,1998-04-07 00:00:00,6,3X3,37.78643917,-122.4717417,1998,1990 - 1999,DPW
5534,38981,DPW Maintained,Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',300x San Bruno Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-11-17 00:00:00,6,3x3,37.76575776,-122.4056718,1998,1990 - 1999,Private
5536,86288,DPW Maintained,Melaleuca quinquenervia :: Cajeput,1227 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-05 00:00:00,3,3x3,37.76463143,-122.4837177,2006,2000 - 2009,DPW
5540,106990,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1737-1795 Post St,13.0,Sidewalk: Curb side : Cutout,DPW,2014-10-24 14:15:00,3,,37.78513539,-122.4308185,2014,2010 - 2019,DPW
5543,18426,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1001X Potrero Ave,1.0,Sidewalk: Property side : Cutout,Health Dept,2016-01-20 00:00:00,30,3X3,37.75616405,-122.4065297,2016,2010 - 2019,Others
5544,99402,DPW Maintained,Afrocarpus gracilior :: Fern Pine,2201X Keith St,3.0,Sidewalk: Curb side : Cutout,Private,2012-05-09 00:00:00,7,3x3,37.72748155,-122.3911666,2012,2010 - 2019,Private
5545,51389,DPW Maintained,Lophostemon confertus :: Brisbane Box,1159 Howard St,2.0,Sidewalk: Curb side : Cutout,Private,2004-10-13 00:00:00,12,,37.7768517,-122.410648,2004,2000 - 2009,Private
5547,8038,DPW Maintained,Pittosporum undulatum :: Victorian Box,555 Fulton St,11.0,Sidewalk: Curb side : Cutout,DPW,2015-09-18 00:00:00,12,3X3,37.77838979,-122.4256078,2015,2010 - 2019,DPW
5550,251534,Planning Code 138.1 required,Tristaniopsis laurina :: Swamp Myrtle,1818 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-05-16 00:00:00,3,3x3,37.75273002,-122.5009291,2017,2010 - 2019,Private
5561,171450,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,170 Vienna St,1.0,Sidewalk: Curb side : Cutout,Private,2018-03-08 00:00:00,3,Width 3ft,37.72563049,-122.4266247,2018,2010 - 2019,Private
5572,28405,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,1735 Ocean Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2003-04-01 00:00:00,18,5X5,37.72455306,-122.4607874,2003,2000 - 2009,DPW
5573,63512,DPW Maintained,Ligustrum lucidum :: Glossy Privet,1912 Golden Gate Ave,1.0,Sidewalk: Curb side : Cutout,Private,2016-11-10 00:00:00,3,3x3,37.7782986,-122.4425133,2016,2010 - 2019,Private
5575,91801,DPW Maintained,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,3071 Harrison St,,Sidewalk: Curb side : Cutout,DPW,2007-03-07 00:00:00,3,3x3,37.74859822,-122.4114434,2007,2000 - 2009,DPW
5577,95898,DPW Maintained,Lagunaria patersonii :: Primrose Tree,1700 23rd Ave,2.0,Sidewalk: Curb side : Cutout,Private,2011-07-27 00:00:00,1,3x3,37.75564886,-122.4807775,2011,2010 - 2019,Private
5579,90141,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',314 Balboa St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-11 00:00:00,3,3x3,37.77737856,-122.4620484,2008,2000 - 2009,DPW
5592,117123,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2550 34TH AVE,2.0,Sidewalk: Curb side : Cutout,Private,2016-05-20 00:00:00,3,3x3,37.73951899,-122.4914102,2016,2010 - 2019,Private
5595,32220,DPW Maintained,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,564 Precita Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-08-22 00:00:00,13,,37.74743372,-122.4096834,1995,1990 - 1999,Private
5604,26750,Permitted Site,Ginkgo biloba 'Fairmont' :: Fairmont Ginkgo,2099X Post St,15.0,Sidewalk: Curb side : Cutout,Rec/Park,2003-04-05 00:00:00,3,3X3,37.78454791,-122.4373234,2003,2000 - 2009,Others
5615,90865,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,2207 Cabrillo St,3.0,Sidewalk: Curb side : Cutout,DPW,2008-02-19 00:00:00,3,3x3,37.77445409,-122.4824437,2008,2000 - 2009,DPW
5619,93352,DPW Maintained,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,2100X Turk Blvd,35.0,Sidewalk: Curb side : Cutout,DPW,2008-11-21 00:00:00,3,3x3,37.77931477,-122.4437504,2008,2000 - 2009,DPW
5620,103734,DPW Maintained,Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,2121 FOLSOM ST,1.0,Sidewalk: Curb side : Cutout,DPW,2007-05-04 00:00:00,8,3x3,37.76336525,-122.4146664,2007,2000 - 2009,DPW
5621,164271,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2438 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-03-06 00:00:00,3,3x3,37.74235128,-122.4744873,2017,2010 - 2019,Private
5632,16245,DPW Maintained,Chamaerops humilis :: Mediterranean Fan Palm,601X Monterey Blvd,1.0,Median : Cutout,DPW,2003-02-02 00:00:00,12,5,37.73154558,-122.4494033,2003,2000 - 2009,DPW
5637,28959,DPW Maintained,Lophostemon confertus :: Brisbane Box,255 09th St,3.0,Sidewalk: Curb side : Cutout,DPW,2010-02-03 00:00:00,3,3x3,37.77437333,-122.4122655,2010,2010 - 2019,DPW
5638,34707,DPW Maintained,Arbutus unedo :: Strawberry Tree,678 46th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1997-07-28 00:00:00,8,,37.77566542,-122.5069062,1997,1990 - 1999,Private
5642,114753,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,10 Karen Ct,1.0,Sidewalk: Curb side : Cutout,Private,2015-12-04 00:00:00,1,,37.72367365,-122.4058387,2015,2010 - 2019,Private
5643,92861,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,2245 Larkin St,1.0,Sidewalk: Curb side : Cutout,Private,2009-11-12 00:00:00,11,3x3,37.79869697,-122.4207291,2009,2000 - 2009,Private
5644,5014,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',5313 Diamond Heights Blvd,3.0,Sidewalk: Curb side : Cutout,Private,1997-05-21 00:00:00,3,3,37.74348733,-122.4371937,1997,1990 - 1999,Private
5646,12701,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1403 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,2007-02-08 00:00:00,6,3X3,37.7861436,-122.4746136,2007,2000 - 2009,Private
5648,47792,DPW Maintained,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,2466 26th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2002-06-12 00:00:00,11,,37.74145701,-122.4830201,2002,2000 - 2009,Private
5649,4282,DPW Maintained,Pinus thunbergii :: Japanese Black Pine,4301 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,DPW,1995-04-07 00:00:00,3,3X3,37.7470831,-122.4363169,1995,1990 - 1999,DPW
5652,105189,DPW Maintained,Myoporum laetum :: Myoporum,699X 46th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2016-10-24 00:00:00,3,3,37.77554632,-122.5070518,2016,2010 - 2019,Private
5660,180016,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2901 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,Private,1998-12-02 00:00:00,7,Width 3ft,37.71181314,-122.4520558,1998,1990 - 1999,Private
5663,84747,DPW Maintained,Washingtonia robusta :: Mexican Fan Palm,170 King St,4.0,Sidewalk: Curb side : Cutout,Private,2007-05-04 00:00:00,19,,37.77868611,-122.3913712,2007,2000 - 2009,Private
5664,29245,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3002X Quintara St,6.0,Sidewalk: Curb side : Cutout,DPW,2006-03-18 00:00:00,3,3X3,37.74776575,-122.497569,2006,2000 - 2009,DPW
5678,30358,DPW Maintained,Ulmus parvifolia :: Chinese Elm,657 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,1974-08-15 00:00:00,14,,37.7579623,-122.3979308,1974,1970 - 1979,Private
5679,254764,Planning Code 138.1 required,Magnolia grandiflora :: Southern Magnolia,77 Caine Ave,1.0,Sidewalk: Curb side : Cutout,Private,2018-03-27 00:00:00,3,3x3,37.71703655,-122.4506015,2018,2010 - 2019,Private
5681,52007,DPW Maintained,Melaleuca linariifolia :: Flaxleaf Paperbark,1782 Revere Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-11 00:00:00,15,3x3,37.7336095,-122.3934669,2008,2000 - 2009,Private
5685,15909,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,5672 Mission St,1.0,Sidewalk: Curb side : Cutout,Private,1995-02-23 00:00:00,6,3x3,37.71043562,-122.4484536,1995,1990 - 1999,Private
5686,94744,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1801 Green St,1.0,Sidewalk: Curb side : Cutout,Private,2010-11-03 00:00:00,4,3x3,37.79685023,-122.429235,2010,2010 - 2019,Private
5687,101942,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,537 Natoma St,1.0,Sidewalk: Curb side : Cutout,Private,2016-01-12 00:00:00,2,2x4,37.7794051,-122.4086105,2016,2010 - 2019,Private
5697,33662,DPW Maintained,Ficus retusa nitida :: Banyan Fig,453 Linden St,1.0,Sidewalk: Curb side : Cutout,Private,2016-10-11 00:00:00,3,,37.77606742,-122.4253888,2016,2010 - 2019,Private
5703,49561,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1081@ JONES Pine St,4.0,Sidewalk: Curb side : Cutout,Private,2003-05-05 00:00:00,6,,37.79043859,-122.4135229,2003,2000 - 2009,Private
5704,81639,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,678 06th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2008-08-04 00:00:00,10,3x3,37.77578175,-122.4638284,2008,2000 - 2009,Private
5709,17740,DPW Maintained,Olea europaea :: Olive Tree,1347 Pierce St,1.0,Sidewalk: Curb side : Cutout,Health Dept,1982-12-01 00:00:00,6,3X3,37.78276633,-122.4360547,1982,1980 - 1989,Others
5714,50577,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,258 16th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2003-12-01 00:00:00,4,,37.783163,-122.4752045,2003,2000 - 2009,Private
5716,38964,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1550 Bay St,6.0,Sidewalk: Curb side : Cutout,Private,1998-11-17 00:00:00,5,,37.80328586,-122.4324776,1998,1990 - 1999,Private
5717,31417,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,4042 21st St,1.0,Sidewalk: Curb side : Cutout,Private,1995-05-01 00:00:00,6,,37.756054,-122.4363962,1995,1990 - 1999,Private
5718,51916,DPW Maintained,Prunus blireiana :: Flowering Plum,1750 43rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2005-07-19 00:00:00,2,,37.75399927,-122.5021752,2005,2000 - 2009,Private
5721,12800,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2034 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,2008-02-24 00:00:00,3,3X3,37.78599177,-122.4815226,2008,2000 - 2009,Private
5722,82842,DPW Maintained,Gleditsia triacanthos :: Honey Locust,624 Natoma St,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-07 00:00:00,5,3x3,37.77794215,-122.4105924,2009,2000 - 2009,Private
5724,59835,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,256 Mallorca Way,1.0,Sidewalk: Curb side : Cutout,Private,1981-09-16 00:00:00,16,,37.80315276,-122.4389985,1981,1980 - 1989,Private
5726,29953,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,149 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-10 00:00:00,3,3x3,37.7131069,-122.4578183,2007,2000 - 2009,Private
5727,259659,Planning Code 138.1 required,Tristaniopsis laurina :: Swamp Myrtle,4061 Cesar Chavez St,1.0,Sidewalk: Curb side : Cutout,Private,2019-07-29 00:00:00,3,3x3,37.74743407,-122.4306015,2019,2010 - 2019,Private
5735,60061,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1574 Innes Ave,1.0,Sidewalk: Curb side : Cutout,Private,1982-03-15 00:00:00,3,,37.73919905,-122.3882806,1982,1980 - 1989,Private
5739,30030,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1710X Alemany Blvd,2.0,Median : Cutout,DPW,2007-03-08 00:00:00,3,3X3,37.72469315,-122.437017,2007,2000 - 2009,DPW
5741,38391,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,305 Spruce St,1.0,Sidewalk: Curb side : Cutout,Private,1998-08-17 00:00:00,4,,37.78802104,-122.4538108,1998,1990 - 1999,Private
5749,31876,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,457 38th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-06-26 00:00:00,2,,37.7803202,-122.4988083,1995,1990 - 1999,Private
5752,103825,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1000 Polk St,3.0,Sidewalk: Curb side : Cutout,Private,2009-11-01 00:00:00,3,3x3,37.78612904,-122.4196922,2009,2000 - 2009,Private
5758,59963,DPW Maintained,Ficus nitida :: Laurel Fig,523 Octavia St,1.0,Sidewalk: Curb side : Cutout,Private,1981-12-19 00:00:00,15,,37.77707757,-122.4247981,1981,1980 - 1989,Private
5759,43019,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',247 Rose St,1.0,Sidewalk: Curb side : Cutout,Private,2014-12-29 00:00:00,3,3x3,37.77324042,-122.4247227,2014,2010 - 2019,Private
5773,86394,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1595 26th Ave,2.0,Sidewalk: Curb side : Cutout,DPW,2006-12-15 00:00:00,3,3x3,37.75781712,-122.4843217,2006,2000 - 2009,DPW
5776,63200,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,450 36th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2015-07-08 00:00:00,3,,37.78053989,-122.4965187,2015,2010 - 2019,Private
5780,95713,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,649 Avalon Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-09-07 00:00:00,4,3x3,37.72525964,-122.4269991,2011,2010 - 2019,Private
5782,85826,Permitted Site,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1399X Howard St,3.0,Sidewalk: Curb side : Cutout,Private,2007-05-17 00:00:00,3,3x3,37.77401442,-122.4143062,2007,2000 - 2009,Private
5784,4417,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1128 Church St,1.0,Sidewalk: Curb side : Cutout,DPW,1997-05-08 00:00:00,6,3X3,37.7527465,-122.4276369,1997,1990 - 1999,DPW
5789,8264,DPW Maintained,Acer rubrum :: Red Maple,1555 Galvez Ave,7.0,Sidewalk: Curb side : Cutout,DPW,2004-03-26 00:00:00,3,3x3,37.74019958,-122.3870785,2004,2000 - 2009,DPW
5791,44260,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,320 Excelsior Ave,1.0,Sidewalk: Curb side : Cutout,Private,2001-02-20 00:00:00,6,,37.72483387,-122.4308165,2001,2000 - 2009,Private
5799,27934,Permitted Site,Phoenix canariensis :: Canary Island Date Palm,799 The Embarcadero,6.0,Median : Cutout,Port,2001-02-01 00:00:00,24,10,37.8020588,-122.4004449,2001,2000 - 2009,Others
5805,57220,DPW Maintained,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,2525 Judah St,1.0,Sidewalk: Curb side : Cutout,Private,1975-01-09 00:00:00,8,,37.76107388,-122.4893053,1975,1970 - 1979,Private
5806,84342,DPW Maintained,Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,1153 Bay St,1.0,Sidewalk: Curb side : Cutout,Private,2008-06-13 00:00:00,3,3x3,37.8039463,-122.4260898,2008,2000 - 2009,Private
5809,29007,Permitted Site,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,135 10th St,1.0,Sidewalk: Curb side : Cutout,Private,2005-12-27 00:00:00,3,3x3,37.77488145,-122.4152964,2005,2000 - 2009,Private
5810,369,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,3690X 19th Ave,16.0,Sidewalk: Curb side : Cutout,DPW,2013-03-09 00:00:00,25,2,37.72122463,-122.4749612,2013,2010 - 2019,DPW
5842,87665,DPW Maintained,Lophostemon confertus :: Brisbane Box,2300X Bay Shore Blvd,3.0,Sidewalk: Curb side : Cutout,DPW,2015-12-10 08:16:00,3,3x3,37.71163408,-122.4035407,2015,2010 - 2019,DPW
5843,104274,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',3675 Washington St,3.0,Sidewalk: Curb side : Cutout,Private,2013-09-17 00:00:00,3,3x3,37.78909406,-122.4535719,2013,2010 - 2019,Private
5844,144327,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,718 47th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2021-02-18 00:00:00,3,Width 3ft,37.77485521,-122.507925,2021,2020 - 2029,Private
5854,53178,DPW Maintained,Prunus cerasifera :: Cherry Plum,2420 REVISED Leavenworth St,1.0,Sidewalk: Curb side : Cutout,Private,2006-11-14 00:00:00,5,,37.80350477,-122.4181496,2006,2000 - 2009,Private
5861,106411,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',2159 Chestnut St,2.0,Sidewalk: Curb side : Cutout,Private,2014-04-28 00:00:00,1,,37.80043644,-122.4387401,2014,2010 - 2019,Private
5862,10863,Permitted Site,Callistemon viminalis :: Weeping Bottlebrush,1275X HUDSON AVE,2.0,Sidewalk: Curb side : Cutout,Private,2016-04-28 00:00:00,6,3X4,37.73410745,-122.3826385,2016,2010 - 2019,Private
5865,65859,DPW Maintained,Maytenus boaria :: Mayten,3454 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,1990-05-08 00:00:00,7,,37.80192435,-122.4414523,1990,1990 - 1999,Private
5868,80749,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,375 Munich St,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-01 00:00:00,3,3x3,37.71971212,-122.4276216,2009,2000 - 2009,Private
5870,103962,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,3240 Pacific Ave,2.0,Sidewalk: Curb side : Cutout,Private,2017-06-28 00:00:00,3,,37.79164116,-122.4486807,2017,2010 - 2019,Private
5872,98849,DPW Maintained,Lagunaria patersonii :: Primrose Tree,1795X 31st Ave,2.0,Sidewalk: Curb side : Cutout,Private,2012-04-11 00:00:00,1,3x3,37.75391761,-122.4896816,2012,2010 - 2019,Private
5876,39967,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,500 Washington St,1.0,Sidewalk: Curb side : Cutout,Private,1999-01-25 00:00:00,12,4x4,37.79574911,-122.4020429,1999,1990 - 1999,Private
5879,103783,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1233 Polk St,1.0,Sidewalk: Curb side : Cutout,Private,2009-11-01 00:00:00,3,3x3,37.78833313,-122.4203153,2009,2000 - 2009,Private
5881,89537,DPW Maintained,Cordyline australis :: Dracena Palm,5200 Anza St,2.0,Sidewalk: Curb side : Cutout,DPW,2008-03-26 00:00:00,3,3x3,37.77735749,-122.5040753,2008,2000 - 2009,DPW
5885,28914,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,180 07th St,1.0,Sidewalk: Curb side : Cutout,Private,2006-02-11 00:00:00,3,3x3,37.77827572,-122.4099302,2006,2000 - 2009,Private
5888,50575,DPW Maintained,Leptospermum laevigatum :: Australian Tea Tree,1347 41st Ave,1.0,Sidewalk: Curb side : Cutout,Private,2003-11-18 00:00:00,0,,37.76164125,-122.5007263,2003,2000 - 2009,Private
5889,11110,DPW Maintained,Lophostemon confertus :: Brisbane Box,2027 Hyde St,1.0,Sidewalk: Curb side : Cutout,Private,2016-01-14 00:00:00,5,3x3,37.7996325,-122.4192221,2016,2010 - 2019,Private
5890,27519,DPW Maintained,Hymenosporum flavum :: Sweetshade,1212 Guerrero St,10.0,Sidewalk: Curb side : Cutout,DPW,2000-06-08 00:00:00,8,3X3,37.75118791,-122.4229274,2000,2000 - 2009,DPW
5896,19322,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,145 Shields St,1.0,Sidewalk: Curb side : Cutout,DPW,1994-08-24 00:00:00,6,3x3,37.71787723,-122.4642979,1994,1990 - 1999,DPW
5900,95889,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1658 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,2011-07-27 00:00:00,2,3x3,37.75674943,-122.478723,2011,2010 - 2019,Private
5902,52781,Permitted Site,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',6X Murray St,2.0,Sidewalk: Curb side : Cutout,Private,2006-05-24 00:00:00,3,3x3,37.73359373,-122.4263102,2006,2000 - 2009,Private
5904,91959,DPW Maintained,Pittosporum undulatum :: Victorian Box,203 IRVING ST,1.0,Sidewalk: Curb side : Cutout,DPW,2008-12-11 00:00:00,3,3x3,37.76416956,-122.4601554,2008,2000 - 2009,DPW
5907,51005,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,674 03rd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2004-06-23 00:00:00,14,,37.77603009,-122.4606145,2004,2000 - 2009,Private
